id,user_id,experiment_id,scenario_type,input_type,input_state,event_datetime
174.0,174,174,174,174,174,174
175.0,175,175,175,175,175,175
176.0,176,176,176,176,176,176
177.0,177,177,177,177,177,177
178.0,178,178,178,178,178,178
179.0,179,179,179,179,179,179
180.0,180,180,180,180,180,180
181.0,181,181,181,181,181,181
182.0,182,182,182,182,182,182
183.0,183,183,183,183,183,183
184.0,184,184,184,184,184,184
185.0,185,185,185,185,185,185
186.0,186,186,186,186,186,186
187.0,187,187,187,187,187,187
188.0,188,188,188,188,188,188
189.0,189,189,189,189,189,189
190.0,190,190,190,190,190,190
191.0,191,191,191,191,191,191
192.0,192,192,192,192,192,192
193.0,193,193,193,193,193,193
194.0,194,194,194,194,194,194
195.0,195,195,195,195,195,195
196.0,196,196,196,196,196,196
197.0,197,197,197,197,197,197
198.0,198,198,198,198,198,198
199.0,199,199,199,199,199,199
200.0,200,200,200,200,200,200
201.0,201,201,201,201,201,201
202.0,202,202,202,202,202,202
203.0,203,203,203,203,203,203
204.0,204,204,204,204,204,204
205.0,205,205,205,205,205,205
206.0,206,206,206,206,206,206
207.0,207,207,207,207,207,207
208.0,208,208,208,208,208,208
209.0,209,209,209,209,209,209
210.0,210,210,210,210,210,210
211.0,211,211,211,211,211,211
212.0,212,212,212,212,212,212
213.0,213,213,213,213,213,213
214.0,214,214,214,214,214,214
215.0,215,215,215,215,215,215
216.0,216,216,216,216,216,216
217.0,217,217,217,217,217,217
218.0,218,218,218,218,218,218
219.0,219,219,219,219,219,219
220.0,220,220,220,220,220,220
221.0,221,221,221,221,221,221
222.0,222,222,222,222,222,222
223.0,223,223,223,223,223,223
224.0,224,224,224,224,224,224
225.0,225,225,225,225,225,225
226.0,226,226,226,226,226,226
227.0,227,227,227,227,227,227
228.0,228,228,228,228,228,228
229.0,229,229,229,229,229,229
230.0,230,230,230,230,230,230
231.0,231,231,231,231,231,231
232.0,232,232,232,232,232,232
233.0,233,233,233,233,233,233
234.0,234,234,234,234,234,234
235.0,235,235,235,235,235,235
236.0,236,236,236,236,236,236
237.0,237,237,237,237,237,237
238.0,238,238,238,238,238,238
239.0,239,239,239,239,239,239
240.0,240,240,240,240,240,240
241.0,241,241,241,241,241,241
242.0,242,242,242,242,242,242
243.0,243,243,243,243,243,243
244.0,244,244,244,244,244,244
245.0,245,245,245,245,245,245
246.0,246,246,246,246,246,246
247.0,247,247,247,247,247,247
248.0,248,248,248,248,248,248
249.0,249,249,249,249,249,249
250.0,250,250,250,250,250,250
251.0,251,251,251,251,251,251
252.0,252,252,252,252,252,252
253.0,253,253,253,253,253,253
254.0,254,254,254,254,254,254
255.0,255,255,255,255,255,255
256.0,256,256,256,256,256,256
257.0,257,257,257,257,257,257
258.0,258,258,258,258,258,258
259.0,259,259,259,259,259,259
260.0,260,260,260,260,260,260
261.0,261,261,261,261,261,261
262.0,262,262,262,262,262,262
263.0,263,263,263,263,263,263
264.0,264,264,264,264,264,264
265.0,265,265,265,265,265,265
266.0,266,266,266,266,266,266
267.0,267,267,267,267,267,267
268.0,268,268,268,268,268,268
269.0,269,269,269,269,269,269
270.0,270,270,270,270,270,270
271.0,271,271,271,271,271,271
272.0,272,272,272,272,272,272
273.0,273,273,273,273,273,273
274.0,274,274,274,274,274,274
275.0,275,275,275,275,275,275
276.0,276,276,276,276,276,276
277.0,277,277,277,277,277,277
278.0,278,278,278,278,278,278
279.0,279,279,279,279,279,279
280.0,280,280,280,280,280,280
281.0,281,281,281,281,281,281
282.0,282,282,282,282,282,282
283.0,283,283,283,283,283,283
284.0,284,284,284,284,284,284
285.0,285,285,285,285,285,285
286.0,286,286,286,286,286,286
287.0,287,287,287,287,287,287
288.0,288,288,288,288,288,288
289.0,289,289,289,289,289,289
290.0,290,290,290,290,290,290
291.0,291,291,291,291,291,291
292.0,292,292,292,292,292,292
293.0,293,293,293,293,293,293
294.0,294,294,294,294,294,294
295.0,295,295,295,295,295,295
296.0,296,296,296,296,296,296
297.0,297,297,297,297,297,297
298.0,298,298,298,298,298,298
299.0,299,299,299,299,299,299
300.0,300,300,300,300,300,300
301.0,301,301,301,301,301,301
302.0,302,302,302,302,302,302
303.0,303,303,303,303,303,303
304.0,304,304,304,304,304,304
305.0,305,305,305,305,305,305
306.0,306,306,306,306,306,306
307.0,307,307,307,307,307,307
308.0,308,308,308,308,308,308
309.0,309,309,309,309,309,309
310.0,310,310,310,310,310,310
311.0,311,311,311,311,311,311
312.0,312,312,312,312,312,312
313.0,313,313,313,313,313,313
314.0,314,314,314,314,314,314
315.0,315,315,315,315,315,315
316.0,316,316,316,316,316,316
317.0,317,317,317,317,317,317
318.0,318,318,318,318,318,318
319.0,319,319,319,319,319,319
320.0,320,320,320,320,320,320
321.0,321,321,321,321,321,321
322.0,322,322,322,322,322,322
323.0,323,323,323,323,323,323
324.0,324,324,324,324,324,324
325.0,325,325,325,325,325,325
326.0,326,326,326,326,326,326
327.0,327,327,327,327,327,327
328.0,328,328,328,328,328,328
329.0,329,329,329,329,329,329
